"Team","Team_Tag","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Fenerbahce","FEN",2,80,141,30,60,50,21,63,33.33,18,26,69.23,20,39,38,26,17,3,38,-19,11,15,14,34,5,11,1,5,20,57,0,1
"Olympiacos","OLY",2,80,163,27,66,40.91,29,56,51.79,22,32,68.75,27,44,34,36,17,2,40,-8,9,12,14,45,4,9,6,8,23,47,0,1
"Panathinaikos","PAN",2,80,168,37,66,56.06,19,41,46.34,37,52,71.15,16,58,26,26,11,3,35,31,14,17,16,35,7,14,2,4,17,35,0,2
"Real Madrid","RMB",2,80,167,35,57,61.4,23,63,36.51,28,37,75.68,18,44,36,21,14,8,47,-4,14,18,19,37,2,2,4,5,19,58,0,0
