"Team","Team_Tag","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Barcelona","FCB",5,205,381,104,178,58.43,38,117,32.48,59,90,65.56,50,143,91,76,39,9,100,30,55,64,41,87,8,27,4,16,33,100,1,1
"Baskonia","BAS",3,120,293,74,117,63.25,41,95,43.16,22,31,70.97,31,78,73,26,25,14,49,31,25,26,45,80,4,11,2,2,39,92,0,1
"Fenerbahce","FEN",5,210,406,107,199,53.77,36,110,32.73,84,106,79.25,47,111,80,47,31,10,103,-8,20,25,67,121,20,53,3,6,33,102,0,2
"Maccabi Tel Aviv","MTA",5,200,441,99,170,58.24,54,126,42.86,81,123,65.85,54,116,95,52,22,15,93,26,45,51,43,89,11,30,12,18,42,106,0,2
"Monaco","ASM",5,210,414,80,154,51.95,67,160,41.88,53,71,74.65,56,116,87,60,27,6,105,8,25,32,45,95,10,27,4,11,63,148,0,1
"Olympiacos","OLY",5,205,351,97,216,44.91,36,114,31.58,49,72,68.06,65,108,95,64,39,6,108,-30,40,49,42,115,15,52,6,20,30,93,0,1
"Panathinaikos","PAN",5,200,415,115,207,55.56,42,127,33.07,59,78,75.64,64,98,93,41,28,14,115,-26,51,62,44,106,20,39,7,23,35,103,0,1
"Real Madrid","RMB",3,120,262,50,89,56.18,44,112,39.29,30,38,78.95,34,67,56,39,14,2,55,-31,12,12,30,58,8,18,1,1,43,111,0,0
