"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Mike James","Monaco",34,1065,635,133,275,48.36,79,208,37.98,132,171,77.19,17,127,174,73,41,2,62,104,21,30,62,135,50,110,3,8,76,199,0,1
"Mike Scott","ASVEL",29,643,302,80,132,60.61,37,108,34.26,31,38,81.58,28,85,35,27,11,0,52,-93,22,25,36,63,22,44,11,19,26,89,0,0
"Mike Tobey","Crvena Zvezda",29,328,110,33,67,49.25,12,45,26.67,8,13,61.54,28,42,10,16,5,13,48,11,21,29,11,29,1,9,5,13,7,32,0,0
"Milos Teodosic","Crvena Zvezda",27,567,254,24,49,48.98,49,144,34.03,59,72,81.94,13,42,158,53,19,2,72,120,5,8,12,20,7,21,0,1,49,141,0,2
"Moses Wright","Olympiacos",11,171,102,38,52,73.08,2,3,66.67,20,34,58.82,10,16,7,9,15,9,23,33,27,29,8,16,3,7,1,1,1,2,0,0
"Moustapha Fall","Olympiacos",29,679,222,94,118,79.66,0,0,NA,34,70,48.57,39,94,76,31,6,39,49,86,71,74,23,42,0,2,0,0,0,0,0,0
"Nando De Colo","ASVEL",21,457,256,39,84,46.43,38,100,38,64,73,87.67,3,35,86,45,23,1,23,-42,15,28,10,24,14,32,5,8,32,91,1,1
"Nathan Reuvers","Valencia",29,431,141,36,73,49.32,17,64,26.56,18,27,66.67,17,50,14,19,6,13,71,-55,18,23,12,32,6,18,3,9,14,53,0,2
"Nathan Sestina","Fenerbahce",27,283,78,14,22,63.64,15,42,35.71,5,8,62.5,7,30,12,3,6,7,45,35,7,8,7,12,0,2,7,16,8,26,0,0
"Nazareth Mitrou Long","Zalgiris",16,149,51,12,27,44.44,8,33,24.24,3,5,60,2,10,19,14,5,0,18,-61,3,5,8,19,1,3,1,3,7,29,0,1
"Nedas Montvila","Zalgiris",3,3,3,0,0,NA,1,1,100,0,0,NA,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0
"Nelson Weidemann","Bayern",5,27,8,1,3,33.33,2,5,40,0,1,0,1,4,4,4,0,0,5,-14,0,0,1,3,0,0,1,1,1,4,0,0
"Nemanja Nedovic","Crvena Zvezda",30,654,428,94,172,54.65,58,142,40.85,66,76,86.84,6,50,79,51,16,4,56,-24,32,39,59,118,3,15,4,7,54,135,0,0
"Niccolo Mannion","Baskonia",8,110,48,10,24,41.67,7,20,35,7,10,70,3,7,18,10,1,0,12,-19,3,5,5,14,2,5,0,1,7,19,0,0
"Nick Calathes","Fenerbahce",31,692,201,64,120,53.33,21,59,35.59,10,23,43.48,17,106,151,57,31,7,65,123,18,27,40,81,6,12,0,4,21,55,0,0
"Nick Weiler Babb","Bayern",34,741,211,28,50,56,46,119,38.66,17,20,85,31,77,73,30,25,4,76,-59,7,12,8,15,13,23,9,16,37,100,0,3
"Nicolas Laprovittola","Barcelona",28,634,357,52,92,56.52,69,171,40.35,46,60,76.67,16,37,139,64,9,0,62,137,15,25,34,62,3,5,3,4,66,167,0,0
"Nicolo Melli","Olimpia Milan",34,831,249,66,125,52.8,29,75,38.67,30,52,57.69,28,107,68,34,32,20,101,42,30,31,27,54,9,40,1,8,28,67,0,0
"Niels Giffey","Bayern",30,403,92,21,42,50,13,47,27.66,11,15,73.33,17,35,13,8,14,1,45,-63,6,9,12,25,3,8,4,12,9,34,0,1
"Nigel Hayes Davis","Fenerbahce",30,938,436,92,158,58.23,58,150,38.67,78,95,82.11,42,100,49,40,30,6,63,114,44,48,37,80,11,30,8,28,50,122,0,0
"Nigel Williams Goss","Olympiacos",25,523,211,61,133,45.86,23,59,38.98,20,25,80,9,47,78,31,28,1,60,90,23,31,31,78,7,24,3,7,20,52,0,0
"Niklas Wimberg","Bayern",11,94,15,3,6,50,2,6,33.33,3,4,75,6,10,5,4,1,4,12,-8,2,2,1,1,0,3,0,1,2,5,0,0
"Nikola Kalinic","Barcelona",34,848,268,50,106,47.17,50,117,42.74,18,29,62.07,27,99,87,48,30,3,57,144,16,25,26,64,8,17,5,12,45,104,0,1
"Nikola Milutinov","Olympiacos",21,398,179,64,105,60.95,0,0,NA,51,61,83.61,55,63,17,22,6,15,20,40,38,48,21,48,5,9,0,0,0,0,0,0
"Nikola Mirotic","Olimpia Milan",21,558,355,67,105,63.81,46,110,41.82,83,98,84.69,38,81,19,36,16,7,46,67,30,40,27,43,10,22,9,16,37,92,0,2
"Nikola Topic","Crvena Zvezda",2,31,7,3,6,50,0,2,0,1,1,100,2,1,7,2,1,0,4,-7,2,2,1,4,0,0,0,0,0,2,0,0
"Nikolas Rogkavopoulos","Baskonia",24,289,117,15,34,44.12,25,47,53.19,12,16,75,11,21,9,9,9,4,33,-18,6,7,6,17,3,10,6,8,19,39,0,0
