"Player","Team","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Walter Tavares","Real Madrid",29,661,277,105,172,61.05,0,0,NA,67,89,75.28,66,117,43,52,18,40,76,211,62,77,40,88,3,7,0,0,0,0,0,0
"Will Clyburn","Efes",24,679,310,77,151,50.99,33,106,31.13,57,73,78.08,26,83,49,36,24,6,46,-34,23,32,38,80,16,39,5,13,28,93,0,0
"Willy Hernangomez","Barcelona",33,536,367,134,227,59.03,4,11,36.36,87,122,71.31,54,108,14,51,17,17,63,-63,51,63,76,144,7,20,0,1,4,10,0,0
"Xabi Lopez Arostegui","Valencia",25,413,127,34,58,58.62,13,52,25,20,24,83.33,22,59,23,22,11,0,36,-138,18,22,11,29,5,7,3,10,10,41,0,1
"Yago Dos Santos","Crvena Zvezda",28,556,243,43,92,46.74,37,92,40.22,46,57,80.7,9,46,109,53,15,0,50,-28,6,11,35,75,2,6,0,5,37,86,0,1
"Yakuba Ouattara","Monaco",24,282,105,17,31,54.84,22,45,48.89,5,7,71.43,15,22,3,6,4,0,25,8,7,8,6,13,4,10,2,3,20,42,0,0
"Yam Madar","Fenerbahce",28,394,128,30,54,55.56,13,40,32.5,29,33,87.88,9,25,59,27,17,2,45,-5,8,9,16,27,6,18,1,6,12,33,0,1
"Yanni Wetzell","ALBA",27,540,213,85,161,52.8,1,5,20,40,60,66.67,37,58,23,40,17,7,61,-202,42,64,35,73,8,24,0,0,1,5,0,0
"Yigit Mestoglu","Fenerbahce",1,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0
"Youssoupha Fall","ASVEL",31,609,273,114,186,61.29,0,0,NA,45,76,59.21,77,129,10,28,10,19,63,-90,61,80,51,101,2,5,0,0,0,0,0,0
"Zach Leday","Partizan",29,872,296,76,150,50.67,21,58,36.21,81,92,88.04,36,96,44,36,22,3,55,-44,22,26,40,91,14,33,6,14,15,44,0,0
"Ziga Samar","ALBA",14,175,48,12,35,34.29,6,15,40,6,7,85.71,7,13,31,28,11,0,29,-121,3,7,9,23,0,5,0,1,6,14,0,0
