RNK;NAME;ROLE;NAT;HEIGHT;AGE;TM NAME;GP;W;L;W%;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;USG%;PPP;OFF RTG (ON);DEF RTG (ON);NET RTG (ON);IND OFF RTG;IND DEF RTG;IND NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);PF 100 Poss;DF 100 Poss;PER;OFF WIN SHARE;DEF WIN SHARE;WIN SHARE;WIN Share per 40;OBPM;DBPM;BPM;VORP;TM PACE (ON);TM OFF RTG (ON);TM DEF RTG (ON);TM NET RTG (ON);TM TS% (ON);TM OR% (ON);TM TO% (ON);TM FT Ratio (ON);OPP TS% (ON);OPP OR% (ON);OPP TO% (ON);OPP FT Ratio (ON);TM PACE (OFF);TM OFF RTG (OFF);TM DEF RTG (OFF);TM NET RTG (OFF);TM TS% (OFF);TM OR% (OFF);TM TO% (OFF);TM FT Ratio (OFF);OPP TS% (OFF);OPP OR% (OFF);OPP TO% (OFF);OPP FT Ratio (OFF);TM PACE (NET);TM OFF RTG (NET);TM DEF RTG (NET);TM NET RTG (NET);TM TS% (NET);TM OR% (NET);TM TO% (NET);TM FT Ratio (NET);OPP TS% (NET);OPP OR% (NET);OPP TO% (NET);OPP FT Ratio (NET)
253;Guerschon Yabusele;PF;FRA;202;29;Real Madrid;22;17;5;0,772727273;23,22727273;10,04545455;2,090909091;3,363636364;0,621621622;1,136363636;2,363636364;0,480769231;3,227272727;5,727272727;0,563492063;2,454545455;2,863636364;0,857142857;1;3,954545455;4,954545455;0,909090909;0,909090909;0,863636364;0,227272727;0,090909091;1,227272727;2,5;14,36363636;4,409090909;7,909090909;0,16461684;1,270114943;119,4888179;109,2750533;10,21376459;126,2735977;98,74786469;27,525733;0,662698413;0,717532468;0,103448276;1,666666667;0,25862069;1,066666667;0,063218391;1,272727273;0,022988506;3;0,275862069;1,3125;0,16091954;0,114942529;0,028735632;0,086206897;0,050505051;0,040201005;0,081081081;0,034883721;0,103092784;1;0,053921569;0,046632124;0,055837563;0,111111111;0,182389937;0,181102362;0,163461538;0,230769231;0,123163842;0,020255864;0,005896226;0,007575758;0,003125;2,878464819;5,857294995;17,65083718;1,006052929;1,419382601;2,425435531;0,152064924;2,445029283;2,187288849;4,632318132;3,351789169;73,55091384;119,4888179;109,2750533;10,21376459;0,622641509;0,289215686;0,147587512;0,10974456;0,550483351;0,312368973;0,159836066;0,085040984;72,75518035;117,721519;113,4688691;4,252649864;0,606258149;0,284482759;0,141097424;0,113101904;0,563051702;0,281094527;0,107601185;0,045409674;0,795733485;1,767298904;-4,193815818;5,961114722;0,016383361;0,004732928;0,006490087;-0,003357344;-0,012568351;0,031274445;0,052234881;0,039631309
254;Justin Anderson;F;USA;198;31;Valencia Basket;18;5;13;0,277777778;18,77777778;6,111111111;1,555555556;2,722222222;0,571428571;0,833333333;2,5;0,333333333;2,388888889;5,222222222;0,457446809;0,5;0,722222222;0,692307692;0,333333333;1,833333333;2,166666667;0,611111111;0,833333333;0,444444444;0,222222222;0,388888889;2,055555556;0,611111111;3,833333333;-3,777777778;6,388888889;0,172672673;0,956521739;104,8013245;111,9808307;-7,179506168;88,07254032;105,5643536;-17,49181326;0,537234043;0,55;0,182608696;1,714285714;0,156521739;0,666666667;0,086956522;0,8;0,086956522;0,6;0,295652174;1,147058824;0,052173913;0,130434783;0,052173913;0,07826087;0,046218487;0,046875;0,055555556;0,035714286;0,087301587;0,733333333;0,02173913;0,020689655;0,025210084;0;0,110367893;0,095238095;0,119402985;0,157894737;0,067826087;0,012779553;0,007462687;0,009433962;0,004587156;5,910543131;1,821192053;10,10172344;-0,405262239;0,580324421;0,175062182;0,020717418;-3,501057899;1,179907674;-2,321150226;-0,118385193;71,79436383;104,8013245;111,9808307;-7,179506168;0,565178571;0,224637681;0,159159159;0,096096096;0,57177814;0,280936455;0,156299841;0,122807018;72,28109314;108,8319088;117,8362573;-9,004348478;0,559297218;0,321428571;0,159901599;0,093480935;0,598811293;0,317901235;0,132875143;0,083619702;-0,486729315;-4,030584329;-5,855426639;1,82484231;0,005881353;-0,09679089;-0,00074244;0,002615161;-0,027033152;-0,03696478;0,023424697;0,039187315
255;Victor Claver;F/PF;ESP;207;36;Valencia Basket;21;8;13;0,380952381;14,80952381;3,380952381;0,476190476;1,095238095;0,434782609;0,714285714;1,857142857;0,384615385;1,19047619;2,952380952;0,403225806;0,285714286;0,380952381;0,75;0,523809524;1,619047619;2,142857143;0,619047619;0,666666667;0,428571429;0;0,142857143;1,476190476;0,761904762;3,19047619;-3,714285714;3,80952381;0,128410915;0,8875;102,037037;111,5248227;-9,487785658;90,63753191;104,479758;-13,84222607;0,524193548;0,537878788;0,125;1,6;0,1;0,25;0,0625;0,4;0,0875;1,285714286;0,4;1,125;0,05;0,175;0,075;0,1;0,057017544;0,041666667;0,121212121;0,058823529;0,139784946;0,928571429;0,04;0,035460993;0,035087719;0,125;0,130268199;0,111111111;0,126865672;0,2;0,083955224;0,015957447;0;0;0;5,496453901;2,962962963;8,444601438;-0,245715235;0,540351738;0,294636504;0,03789537;-2,845745745;1,967293456;-0,878452289;0,313405008;69,80877996;102,037037;111,5248227;-9,487785658;0,527777778;0,298181818;0,16211878;0,091492777;0,584572491;0,325670498;0,201818182;0,092727273;71,36556156;104,3222004;106,3936064;-2,071406001;0,542390194;0,315686275;0,17104149;0,098221846;0,564088983;0,26652452;0,148571429;0,093877551;-1,556781598;-2,285163356;5,131216301;-7,416379657;-0,014612416;-0,017504456;-0,00892271;-0,006729069;0,020483508;0,059145978;0,053246753;-0,001150278
256;Brandon Davies;C;USA;208;33;Valencia Basket;28;12;16;0,428571429;22,35714286;12,07142857;4,071428571;7,535714286;0,54028436;0,535714286;1,75;0,306122449;4,607142857;9,285714286;0,496153846;2,321428571;2,892857143;0,802469136;1,142857143;2,678571429;3,821428571;2;1,964285714;0,821428571;0,607142857;0,25;2,714285714;3,107142857;12,25;-0,357142857;12,5;0,275590551;0,965714286;110,822898;110,335689;0,487208986;102,5002189;100,5427056;1,957513323;0,525;0,572881356;0,202857143;1,38028169;0,22;1,012987013;0,18;0,825396825;0,002857143;0;0,137142857;0,9375;0,1;0,157142857;0,108571429;0,048571429;0,137931034;0,157676349;0,164835165;0,040540541;0,137931034;1,018181818;0,062015504;0,056737589;0,067961165;0,083333333;0,139405204;0,143478261;0,117647059;0,195652174;0,101518027;0,020318021;0,017726799;0,028409091;0;6,713780919;7,781753131;21,23334995;-0,188929936;1,331685222;1,142755286;0,073019507;-1,573932524;1,749747125;0,175814601;0,957313446;71,34841918;110,822898;110,335689;0,487208986;0,577353215;0,290697674;0,15511811;0,087401575;0,573461892;0,312267658;0,191071429;0,116071429;72,01686013;100,8918618;108,9786756;-8,086813884;0,533608491;0,29638009;0,176699029;0,085436893;0,566511085;0,263529412;0,123102867;0,086003373;-0,668440957;9,931036271;1,357013401;8,57402287;0,043744725;-0,005682416;-0,021580919;0,001964682;0,006950806;0,048738246;0,067968562;0,030068056
257;Sergio De Larrea;SG;ESP;198;19;Valencia Basket;1;0;1;0;17;0;0;2;0;0;1;0;0;3;0;0;0;-;0;2;2;2;3;0;1;0;2;1;-2;0;6;0,171428571;0;84,84848485;84,84848485;0;29,81193679;80,75302628;-50,94108949;0;0;0;-;0,166666667;0;0,166666667;0;0;-;0,166666667;0;-;0,5;0;0,5;0,153846154;0,2;0;0;0,25;0,666666667;0;0;0;0;0,090909091;0,1;0,1;0;0,058823529;0;0,033333333;0,0625;0;6,060606061;3,03030303;-14,79107769;-0,126587502;0,075725393;-0,050862109;-0,119675551;-16,75144853;1,446232416;-15,30521611;-2,23558573;79,83870968;84,84848485;84,84848485;0;0,56;0,166666667;0,285714286;0,028571429;0,424242424;0,318181818;0,205882353;0,088235294;72,4789916;106,0869565;119,2982456;-13,21128909;0,564814815;0,235294118;0,15625;0,09375;0,566666667;0,267857143;0,066666667;0,125925926;7,359718081;-21,23847167;-34,44976077;13,21128909;-0,004814815;-0,068627451;0,129464286;-0,065178571;-0,142424242;0,050324675;0,139215686;-0,037690632
258;Guillem Ferrando Porro;SG;ESP;185;22;Valencia Basket;6;3;3;0,5;8,166666667;1,833333333;0;0;-;0,333333333;1,666666667;0,2;0,333333333;1,666666667;0,2;0,833333333;0,833333333;1;0,166666667;0,666666667;0,833333333;1;0,333333333;0;0;0;1,166666667;0,333333333;1,166666667;-2,666666667;2,333333333;0,141414141;0,785714286;103,6585366;124,691358;-21,03282144;112,0948967;117,4821411;-5,387244441;0,3;0,458333333;0;-;0;-;0;-;0,142857143;1,5;0,571428571;0,375;0,142857143;0,142857143;0,142857143;0;0,171428571;0,1;0,142857143;0,375;0,3;3;0,023809524;0;0,047619048;0;0,093023256;0,142857143;0,045454545;-;0,058823529;0;0;0;0;8,641975309;2,43902439;4,753334363;0,022898242;0,027329333;0,050227575;0,041002102;-1,388100782;-1,780132975;-3,168233757;-0,125728517;66,57645467;103,6585366;124,691358;-21,03282144;0,524691358;0,404761905;0,181818182;0,101010101;0,56741573;0,325581395;0,065934066;0,10989011;70,54280197;103,4671533;101,0909091;2,376244194;0,554794521;0,299212598;0,181089744;0,081730769;0,52851711;0,286738351;0,164037855;0,099369085;-3,966347305;0,191383301;23,60044893;-23,40906563;-0,030103163;0,105549306;0,000728438;0,019279332;0,03889862;0,038843044;-0,098103789;0,010521025
259;Jared Harper;PG;USA;178;27;Valencia Basket;22;9;13;0,409090909;16,40909091;8,454545455;1,545454545;3,090909091;0,5;0,909090909;3,590909091;0,253164557;2,454545455;6,681818182;0,367346939;2,636363636;3,090909091;0,852941176;0,090909091;0,727272727;0,818181818;2,227272727;1,363636364;0,590909091;0;0,409090909;2;2,863636364;6,5;-1,954545455;9,409090909;0,264705882;0,898550725;106,2865497;114,9253731;-8,638823427;106,3817067;110,4880692;-4,106362499;0,43537415;0,525423729;0,101449275;1,333333333;0,140096618;0,75862069;0,086956522;1;0,028985507;1;0,347826087;0,75;0,144927536;0,144927536;0,06763285;0,077294686;0,195219124;0,164556962;0,377777778;0,104166667;0,19140625;1,633333333;0,00591716;0,006493506;0,006134969;0;0,054421769;0,04964539;0,066666667;0;0,028481013;0,019402985;0;0;0;6,567164179;9,210526316;14,96725395;0,070014148;0,435045486;0,505059634;0,055962286;-0,290609524;-2,364941367;-2,655550891;-0,211436911;75,6846473;106,2865497;114,9253731;-8,638823427;0,544161677;0,286982249;0,145780051;0,103580563;0,606299213;0,278911565;0,179447853;0,133435583;70,52531041;104,6587216;109,2750533;-4,616331745;0,562937063;0,271662763;0,176583493;0,086372361;0,566298343;0,295652174;0,14613424;0,078164826;5,159336892;1,627828147;5,650319829;-4,022491682;-0,018775386;0,015319485;-0,030803442;0,017208202;0,04000087;-0,016740609;0,033313613;0,055270757
260;Martin Hermannsson;PG/SG;ICE;190;30;Valencia Basket;4;2;2;0,5;10,25;3;1,25;1,5;0,833333333;0;0,75;0;1,25;2,25;0,555555556;0,5;0,5;1;0;0,75;0,75;1,75;1,5;0;0;0;1,25;0,5;2,25;-1;4;0,207792208;0,75;98,63013699;107,0422535;-8,412116535;105,1270265;108,6893506;-3,562324076;0,555555556;0,6;0,0625;2;0,25;1,5;0,0625;2;0;-;0,1875;0;0,0625;0,375;0,3125;0,0625;0,24137931;0,217391304;1;0;0,304347826;1,166666667;0;0;0;-;0,083333333;0;0,125;0;0,053571429;0;0;0;0;7,042253521;2,739726027;5,731140452;0,000829762;0,052551273;0,053381035;0,052079059;-7,384397293;-2,341833552;-9,726230845;-1,252368116;72,03947368;98,63013699;107,0422535;-8,412116535;0,631578947;0,2;0,25974026;0,064935065;0,558823529;0,138888889;0,115942029;0,086956522;69,98327759;109,6774194;101,7605634;7,916855975;0,564575646;0,302816901;0,158385093;0,099378882;0,555769231;0,286821705;0,18597561;0,12804878;2,056196092;-11,04728237;5,281690141;-16,32897251;0,067003302;-0,102816901;0,101355167;-0,034443817;0,003054299;-0,147932817;-0,070033581;-0,041092259
261;Damien Inglis;PF;FRA;204;29;Valencia Basket;32;14;18;0,4375;20,5;8,15625;3,0625;5,6875;0,538461538;0,21875;0,78125;0,28;3,28125;6,46875;0,507246377;1,375;1,9375;0,709677419;1,28125;3,40625;4,6875;1,71875;1,40625;0,6875;0,15625;0,34375;2,46875;2,1875;9,625;-1,0625;8,6875;0,206078577;0,938848921;108,7959009;110,0084104;-1,21250949;107,4971657;100,3228113;7,174354456;0,524154589;0,560085837;0,251798561;1,571428571;0,305755396;0,752941176;0,097122302;0,814814815;0,035971223;0,6;0,04676259;1,153846154;0,09352518;0,161870504;0,075539568;0,086330935;0,119825708;0,098113208;0,223300971;0,065934066;0,165165165;1,222222222;0,073741007;0,075657895;0,082568807;0;0,195340502;0,220408163;0,1875;0,058823529;0,13464991;0,018502944;0,005035247;0,005244755;0,004750594;6,644238856;5,977796755;17,49304908;0,161719778;1,396228989;1,557948767;0,094996876;-2,228235928;2,331125438;0,10288951;0,848843501;71,31727866;108,7959009;110,0084104;-1,21250949;0,563218391;0,318345324;0,161601186;0,088213491;0,575197889;0,292114695;0,186586414;0,123817713;71,12195898;103,6705461;109,8464318;-6,175885692;0,547258979;0,282051282;0,16889238;0,099764336;0,575212867;0,290076336;0,139903515;0,077877326;0,195319672;5,125354834;0,161978631;4,963376202;0,015959412;0,036294042;-0,007291194;-0,011550845;-1,49774E-05;0,002038359;0,0466829;0,045940387
262;Chris Jones;PG/SG;USA;188;31;Valencia Basket;33;14;19;0,424242424;25,78787879;12,66666667;3,181818182;6,666666667;0,477272727;1,545454545;3,393939394;0,455357143;4,727272727;10,06060606;0,469879518;1,666666667;2,060606061;0,808823529;0,181818182;1,939393939;2,121212121;4,212121212;1,727272727;1,242424242;0,03030303;0,515151515;1,393939394;2,363636364;13,27272727;-1,515151515;12,60606061;0,24115942;1,004807692;106,8466096;110,4290429;-3,582433293;122,614063;102,2358054;20,37825756;0,546686747;0,582172702;0,149038462;1,225806452;0,228365385;0,905263158;0,151442308;0,761904762;0,014423077;2,5;0,254807692;1,301886792;0,064903846;0,137019231;0,105769231;0,03125;0,249103943;0,238670695;0,398148148;0,142857143;0,25045045;2,438596491;0,008275862;0,015151515;0;0;0,086956522;0,077399381;0,097560976;0,051724138;0,047912389;0,027062706;0,000772798;0;0,001785714;3,03630363;5,134957209;22,60731464;1,847124238;1,663473211;3,510597449;0,165010456;2,149470893;-0,175579722;1,973891171;2,018088059;71,35363658;106,8466096;110,4290429;-3,582433293;0,558115543;0,28;0,157101449;0,086956522;0,569047619;0,30298913;0,178571429;0,116402116;71,47282456;107,2104019;108,7514586;-1,541056685;0,563354037;0,3275;0,176891616;0,104294479;0,577447336;0,266149871;0,129520606;0,080740118;-0,119187979;-0,36379228;1,677584328;-2,041376608;-0,005238494;-0,0475;-0,019790166;-0,017337957;-0,008399717;0,03683926;0,049050823;0,035661999
