TM NAME;GP;W;L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;PACE;POSS;SHOOTING CHANCES;OFF PPP;DEF PPP;OFF RTG;DEF RTG;NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;LTO%;DTO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;BLK% (2P);BLK% (3P);KILLS;PSF FREQ;DSF FREQ
Fenerbahce Beko Istanbul;2;0;2;200;70,5;15;30;0,5;10,5;31,5;0,333333333;25,5;61,5;0,414634146;9;13;0,692307692;10;19,5;29,5;19;13;8,5;1,5;2;19;16,5;71,5;-9,5;70,5;70,5;80,5;0,875776398;0,96969697;100;111,8881119;-11,88811189;0,5;0,522222222;0,093167702;1,466666667;0,211180124;0,823529412;0,068322981;0,909090909;0,031055901;0,6;0,354037267;1,052631579;0,074534161;0,161490683;0,099378882;0,062111801;0,62295082;0,533333333;0,904761905;0,3;0,236024845;1,461538462;0,263157895;0,333333333;0,225;0,166666667;0,65;0,636363636;0,65;0,666666667;0,433823529;0,118881119;0,027272727;0,044117647;0;4;0,578947368;0,424242424
Olympiacos Piraeus;2;1;1;200;81,5;13,5;33;0,409090909;14,5;28;0,517857143;28;61;0,459016393;11;16;0,6875;13,5;22;35,5;17;18;8,5;1;5;20;19,5;82;-4;71,5;71,5;85,5;0,953216374;1,075471698;113,986014;122,1428571;-8,156843157;0,577868852;0,603703704;0,070175439;1,5;0,263157895;0,622222222;0,052631579;0,888888889;0,046783626;2,25;0,274853801;1,468085106;0,076023392;0,211764706;0,111764706;0,1;0,515151515;0,296296296;0,827586207;0,2;0,2;0,944444444;0,391304348;0,473684211;0,307692308;0,25;0,698412698;0,653846154;0,709677419;0,833333333;0,537878788;0,121428571;0,016806723;0,03125;0;4;0,475;0,461538462
Panathinaikos AKTOR Athens;2;2;0;200;84;18,5;33;0,560606061;9,5;20,5;0,463414634;28;53,5;0,523364486;18,5;26;0,711538462;8;29;37;13;13;5,5;1,5;0,5;17,5;22,5;99,5;15,5;70,5;70,5;78,5;1,070063694;0,867088608;119,1489362;98,56115108;20,58778509;0,612149533;0,641221374;0,108280255;1,647058824;0,222929936;0,914285714;0,089171975;1;0,025477707;1,5;0,222929936;1,457142857;0,152866242;0,165605096;0,076433121;0,089171975;0,333333333;0,27027027;0,578947368;0,227272727;0,165605096;1;0,280701754;0,275862069;0,3;0,25;0,753246753;0,692307692;0,775510204;1;0,552238806;0,079136691;0,024193548;0,056603774;0;8;0,428571429;0,577777778
Real Madrid;2;1;1;200;83,5;17,5;28,5;0,614035088;11,5;31,5;0,365079365;29;60;0,483333333;14;18,5;0,756756757;9;22;31;18;10,5;7;4;0,5;23,5;21;94,5;-2;69;69;78;1,070512821;1,049079755;121,0144928;121,2765957;-0,262102991;0,579166667;0,618518519;0,115384615;1,555555556;0,237179487;1,027027027;0,012820513;2;0,032051282;2,4;0,371794872;0,982758621;0,096153846;0,134615385;0,076923077;0,057692308;0,493150685;0,428571429;0,826086957;0,133333333;0,230769231;1,714285714;0,28125;0,318181818;0,275;0;0,666666667;0,588235294;0,730769231;0,833333333;0,476923077;0,09929078;0,067226891;0,125;0;5;0,468085106;0,476190476
