"Team","Team_Tag","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Baskonia","BAS",2,80,174,38,65,58.46,27,68,39.71,17,24,70.83,24,40,44,23,16,5,33,-16,21,25,14,31,3,9,5,7,22,61,0,0
"Efes","EFE",1,40,64,12,37,32.43,9,29,31.03,13,17,76.47,15,25,8,10,9,5,12,-3,7,12,5,22,0,3,2,6,7,23,0,0
"Maccabi Tel Aviv","MTA",1,40,113,24,40,60,19,36,52.78,8,10,80,16,22,24,8,7,3,16,28,10,14,10,17,4,9,2,3,17,33,0,0
"Virtus Bologna","VIR",2,80,144,36,68,52.94,19,54,35.19,15,24,62.5,24,54,32,32,15,12,41,-9,12,15,20,40,4,13,3,6,16,47,0,1
