"Team","Team_Tag","GP","MIN","PTS","P2M","P2A","P2p","P3M","P3A","P3p","FTM","FTA","FTp","OREB","DREB","AST","TOV","STL","BLK","PF","PM","RIM_M","RIM_A","PAINT_M","PAINT_A","MID_M","MID_A","3C_M","3C_A","3L_M","3L_A","3H_M","3H_A"
"Baskonia","BAS",2,80,190,46,74,62.16,27,62,43.55,17,24,70.83,26,47,35,24,14,8,36,16,15,19,24,41,7,14,2,3,25,58,0,1
"Efes","EFE",1,40,67,14,34,41.18,11,28,39.29,6,10,60,14,29,21,16,8,7,21,3,7,10,6,16,1,8,3,6,8,22,0,0
"Maccabi Tel Aviv","MTA",1,40,85,23,34,67.65,11,29,37.93,6,11,54.55,9,18,22,12,7,3,14,-28,16,19,4,10,3,5,3,5,8,24,0,0
"Virtus Bologna","VIR",2,80,153,27,68,39.71,25,68,36.76,24,30,80,30,47,30,21,18,7,31,9,12,18,15,43,0,7,4,8,21,60,0,0
